sample	signature	exposure	mutations
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS15	0.223284	201
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS6	0.125008	113
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS20	0.114956	104
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS54	0.0984864	89
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS21	0.0591888	53
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS17b	0.0506525	46
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS14	0.0379884	34
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS3	0.0286704	26
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS59	0.0271462	24
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS23	0.0239178	22
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS43	0.0219251	20
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS35	0.0201328	18
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS10b	0.0146399	13
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS42	0.0122864	11
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS49	0.00636847	6
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS32	0.00609795	6
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS24	0.00570822	5
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS84	0.00444307	4
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS7a	0.00435669	4
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS13	0.00387034	3
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS48	0.00342654	3
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS52	0.00228967	2
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS1	0.00226105	2
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS17a	0.00199289	2
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS11	0.00159273	1
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS1	0.294114	98
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS18	0.161183	54
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS6	0.0790041	26
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS39	0.0603776	20
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS15	0.0529204	18
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS10b	0.0500959	17
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS13	0.0430392	14
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS54	0.0374181	12
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS2	0.0261744	9
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS35	0.0230029	8
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS84	0.0226074	8
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS12	0.0223185	7
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS19	0.0164534	5
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS30	0.0147601	5
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS37	0.0144482	5
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS17b	0.0110708	4
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS22	0.0108931	4
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS17a	0.0106755	4
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS7b	0.00728738	2
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS60	0.00540126	2
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS52	0.00503648	2
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS7c	0.00411636	1
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS49	0.00352383	1
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS7d	0.00322493	1
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS28	0.00257827	1
TCGA-AA-3673-01A-01W-0900-09	COSMICv3-SBS1	0.484149	46
TCGA-AA-3673-01A-01W-0900-09	COSMICv3-SBS24	0.0567491	5
TCGA-AA-3673-01A-01W-0900-09	COSMICv3-SBS39	0.0502421	5
TCGA-AA-3673-01A-01W-0900-09	COSMICv3-SBS30	0.049054	5
TCGA-AA-3673-01A-01W-0900-09	COSMICv3-SBS20	0.0427221	4
TCGA-AA-3673-01A-01W-0900-09	COSMICv3-SBS16	0.0242584	2
TCGA-AA-3673-01A-01W-0900-09	COSMICv3-SBS47	0.0235117	2
TCGA-AA-3673-01A-01W-0900-09	COSMICv3-SBS52	0.0207694	2
TCGA-AA-3673-01A-01W-0900-09	COSMICv3-SBS26	0.0199004	2
TCGA-AA-3673-01A-01W-0900-09	COSMICv3-SBS11	0.0185043	2
TCGA-AA-3673-01A-01W-0900-09	COSMICv3-SBS21	0.0182011	2
TCGA-AA-3673-01A-01W-0900-09	COSMICv3-SBS55	0.0181379	2
TCGA-AA-3673-01A-01W-0900-09	COSMICv3-SBS45	0.0177045	2
TCGA-AA-3673-01A-01W-0900-09	COSMICv3-SBS10b	0.0159027	1
TCGA-AA-3673-01A-01W-0900-09	COSMICv3-SBS17b	0.0151668	1
TCGA-AA-3673-01A-01W-0900-09	COSMICv3-SBS28	0.0129393	1
TCGA-AA-3673-01A-01W-0900-09	COSMICv3-SBS2	0.0113909	1
TCGA-AA-3673-01A-01W-0900-09	COSMICv3-SBS49	0.010726	1
TCGA-AA-3673-01A-01W-0900-09	COSMICv3-SBS13	0.00927704	1
TCGA-AA-3673-01A-01W-0900-09	COSMICv3-SBS57	0.00836319	1
TCGA-AA-3673-01A-01W-0900-09	COSMICv3-SBS7c	0.00734215	1
TCGA-AA-3673-01A-01W-0900-09	COSMICv3-SBS15	0.00692945	1
TCGA-AA-3673-01A-01W-0900-09	COSMICv3-SBS10a	0.00671696	1
TCGA-A6-2679-01A-02D-1408-10	COSMICv3-SBS1	0.190018	23
TCGA-A6-2679-01A-02D-1408-10	COSMICv3-SBS39	0.111016	13
TCGA-A6-2679-01A-02D-1408-10	COSMICv3-SBS29	0.0791635	9
TCGA-A6-2679-01A-02D-1408-10	COSMICv3-SBS19	0.0564934	7
TCGA-A6-2679-01A-02D-1408-10	COSMICv3-SBS35	0.0536811	6
TCGA-A6-2679-01A-02D-1408-10	COSMICv3-SBS54	0.044805	5
TCGA-A6-2679-01A-02D-1408-10	COSMICv3-SBS48	0.0313007	4
TCGA-A6-2679-01A-02D-1408-10	COSMICv3-SBS20	0.0299255	4
TCGA-A6-2679-01A-02D-1408-10	COSMICv3-SBS41	0.02963	4
TCGA-A6-2679-01A-02D-1408-10	COSMICv3-SBS21	0.0238612	3
TCGA-A6-2679-01A-02D-1408-10	COSMICv3-SBS17a	0.0231663	3
TCGA-A6-2679-01A-02D-1408-10	COSMICv3-SBS14	0.0207798	2
TCGA-A6-2679-01A-02D-1408-10	COSMICv3-SBS33	0.0199066	2
TCGA-A6-2679-01A-02D-1408-10	COSMICv3-SBS3	0.016138	2
TCGA-A6-2679-01A-02D-1408-10	COSMICv3-SBS60	0.0149107	2
TCGA-A6-2679-01A-02D-1408-10	COSMICv3-SBS50	0.0122194	1
TCGA-A6-2679-01A-02D-1408-10	COSMICv3-SBS7d	0.0100632	1
TCGA-A6-2679-01A-02D-1408-10	COSMICv3-SBS43	0.00969076	1
TCGA-A6-2679-01A-02D-1408-10	COSMICv3-SBS6	0.00941607	1
TCGA-A6-2679-01A-02D-1408-10	COSMICv3-SBS84	0.00931946	1
TCGA-A6-2679-01A-02D-1408-10	COSMICv3-SBS7c	0.0091292	1
TCGA-A6-2679-01A-02D-1408-10	COSMICv3-SBS2	0.00649362	1
TCGA-A6-2679-01A-02D-1408-10	COSMICv3-SBS10b	0.00631294	1
TCGA-AD-6895-01A-11D-1924-10	COSMICv3-SBS15	0.210817	452
TCGA-AD-6895-01A-11D-1924-10	COSMICv3-SBS1	0.196339	421
TCGA-AD-6895-01A-11D-1924-10	COSMICv3-SBS6	0.192559	413
TCGA-AD-6895-01A-11D-1924-10	COSMICv3-SBS7b	0.0663101	142
TCGA-AD-6895-01A-11D-1924-10	COSMICv3-SBS21	0.0265643	57
TCGA-AD-6895-01A-11D-1924-10	COSMICv3-SBS54	0.0262662	56
TCGA-AD-6895-01A-11D-1924-10	COSMICv3-SBS7a	0.0261682	56
TCGA-AD-6895-01A-11D-1924-10	COSMICv3-SBS20	0.0261016	56
TCGA-AD-6895-01A-11D-1924-10	COSMICv3-SBS24	0.021476	46
TCGA-AD-6895-01A-11D-1924-10	COSMICv3-SBS42	0.0126306	27
TCGA-AD-6895-01A-11D-1924-10	COSMICv3-SBS2	0.0101489	22
TCGA-AD-6895-01A-11D-1924-10	COSMICv3-SBS35	0.00752885	16
TCGA-AD-6895-01A-11D-1924-10	COSMICv3-SBS17a	0.00741951	16
TCGA-AD-6895-01A-11D-1924-10	COSMICv3-SBS26	0.00672804	14
TCGA-AD-6895-01A-11D-1924-10	COSMICv3-SBS16	0.004564	10
TCGA-AD-6895-01A-11D-1924-10	COSMICv3-SBS13	0.0043061	9
TCGA-AD-6895-01A-11D-1924-10	COSMICv3-SBS49	0.00427859	9
TCGA-AD-6895-01A-11D-1924-10	COSMICv3-SBS43	0.00412921	9
TCGA-AD-6895-01A-11D-1924-10	COSMICv3-SBS10b	0.00393267	8
TCGA-AD-6895-01A-11D-1924-10	COSMICv3-SBS17b	0.003752	8
TCGA-AD-6895-01A-11D-1924-10	COSMICv3-SBS59	0.00323096	7
TCGA-AD-6895-01A-11D-1924-10	COSMICv3-SBS23	0.00253062	5
TCGA-AD-6895-01A-11D-1924-10	COSMICv3-SBS53	0.00207578	4
TCGA-AD-6895-01A-11D-1924-10	COSMICv3-SBS14	0.000389083	1
TCGA-AA-3975-01A-01W-0995-10	COSMICv3-SBS1	0.287009	58
TCGA-AA-3975-01A-01W-0995-10	COSMICv3-SBS8	0.188598	38
TCGA-AA-3975-01A-01W-0995-10	COSMICv3-SBS39	0.0732114	15
TCGA-AA-3975-01A-01W-0995-10	COSMICv3-SBS10b	0.0597064	12
TCGA-AA-3975-01A-01W-0995-10	COSMICv3-SBS19	0.0518648	10
TCGA-AA-3975-01A-01W-0995-10	COSMICv3-SBS17b	0.0508546	10
TCGA-AA-3975-01A-01W-0995-10	COSMICv3-SBS2	0.0396207	8
TCGA-AA-3975-01A-01W-0995-10	COSMICv3-SBS17a	0.0301407	6
TCGA-AA-3975-01A-01W-0995-10	COSMICv3-SBS37	0.0250161	5
TCGA-AA-3975-01A-01W-0995-10	COSMICv3-SBS45	0.0219433	4
TCGA-AA-3975-01A-01W-0995-10	COSMICv3-SBS20	0.0213613	4
TCGA-AA-3975-01A-01W-0995-10	COSMICv3-SBS35	0.0192758	4
TCGA-AA-3975-01A-01W-0995-10	COSMICv3-SBS53	0.0181611	4
TCGA-AA-3975-01A-01W-0995-10	COSMICv3-SBS7d	0.0177835	4
TCGA-AA-3975-01A-01W-0995-10	COSMICv3-SBS54	0.0164908	3
TCGA-AA-3975-01A-01W-0995-10	COSMICv3-SBS24	0.0161013	3
TCGA-AA-3975-01A-01W-0995-10	COSMICv3-SBS30	0.0159906	3
TCGA-AA-3975-01A-01W-0995-10	COSMICv3-SBS15	0.0114368	2
TCGA-AA-3975-01A-01W-0995-10	COSMICv3-SBS56	0.00615157	1
TCGA-AM-5821-01A-01D-1650-10	COSMICv3-SBS15	0.355046	535
TCGA-AM-5821-01A-01D-1650-10	COSMICv3-SBS1	0.219334	331
TCGA-AM-5821-01A-01D-1650-10	COSMICv3-SBS54	0.0939064	142
TCGA-AM-5821-01A-01D-1650-10	COSMICv3-SBS20	0.0817619	123
TCGA-AM-5821-01A-01D-1650-10	COSMICv3-SBS14	0.0340583	51
TCGA-AM-5821-01A-01D-1650-10	COSMICv3-SBS6	0.0289415	44
TCGA-AM-5821-01A-01D-1650-10	COSMICv3-SBS17b	0.0259704	39
TCGA-AM-5821-01A-01D-1650-10	COSMICv3-SBS21	0.0198246	30
TCGA-AM-5821-01A-01D-1650-10	COSMICv3-SBS24	0.0168907	25
TCGA-AM-5821-01A-01D-1650-10	COSMICv3-SBS11	0.0135581	20
TCGA-AM-5821-01A-01D-1650-10	COSMICv3-SBS26	0.0112356	17
TCGA-AM-5821-01A-01D-1650-10	COSMICv3-SBS59	0.0100178	15
TCGA-AM-5821-01A-01D-1650-10	COSMICv3-SBS35	0.00959752	14
TCGA-AM-5821-01A-01D-1650-10	COSMICv3-SBS17a	0.0087615	13
TCGA-AM-5821-01A-01D-1650-10	COSMICv3-SBS43	0.00812319	12
TCGA-AM-5821-01A-01D-1650-10	COSMICv3-SBS49	0.00584918	9
TCGA-AM-5821-01A-01D-1650-10	COSMICv3-SBS48	0.00441883	7
TCGA-AM-5821-01A-01D-1650-10	COSMICv3-SBS3	0.00373756	6
TCGA-AM-5821-01A-01D-1650-10	COSMICv3-SBS31	0.00288793	4
TCGA-AM-5821-01A-01D-1650-10	COSMICv3-SBS23	0.00266288	4
TCGA-CK-6751-01A-11D-1835-10	COSMICv3-SBS1	0.433557	95
TCGA-CK-6751-01A-11D-1835-10	COSMICv3-SBS18	0.125869	28
TCGA-CK-6751-01A-11D-1835-10	COSMICv3-SBS7b	0.0536995	12
TCGA-CK-6751-01A-11D-1835-10	COSMICv3-SBS84	0.0507265	11
TCGA-CK-6751-01A-11D-1835-10	COSMICv3-SBS12	0.0504186	11
TCGA-CK-6751-01A-11D-1835-10	COSMICv3-SBS6	0.0344406	8
TCGA-CK-6751-01A-11D-1835-10	COSMICv3-SBS7a	0.0298111	7
TCGA-CK-6751-01A-11D-1835-10	COSMICv3-SBS16	0.0200158	4
TCGA-CK-6751-01A-11D-1835-10	COSMICv3-SBS43	0.0181311	4
TCGA-CK-6751-01A-11D-1835-10	COSMICv3-SBS19	0.0168034	4
TCGA-CK-6751-01A-11D-1835-10	COSMICv3-SBS10a	0.0130594	3
TCGA-CK-6751-01A-11D-1835-10	COSMICv3-SBS55	0.0106409	2
TCGA-CK-6751-01A-11D-1835-10	COSMICv3-SBS48	0.00941102	2
TCGA-CK-6751-01A-11D-1835-10	COSMICv3-SBS50	0.00741179	2
TCGA-CK-6751-01A-11D-1835-10	COSMICv3-SBS15	0.00658081	1
TCGA-CK-6751-01A-11D-1835-10	COSMICv3-SBS5	0.00304698	1
TCGA-CK-6751-01A-11D-1835-10	COSMICv3-SBS7d	0.00296823	1
TCGA-AA-A02O-01A-21W-A096-10	COSMICv3-SBS1	0.48121	102
TCGA-AA-A02O-01A-21W-A096-10	COSMICv3-SBS29	0.0731733	16
TCGA-AA-A02O-01A-21W-A096-10	COSMICv3-SBS6	0.0645727	14
TCGA-AA-A02O-01A-21W-A096-10	COSMICv3-SBS7d	0.0565724	12
TCGA-AA-A02O-01A-21W-A096-10	COSMICv3-SBS13	0.0426056	9
TCGA-AA-A02O-01A-21W-A096-10	COSMICv3-SBS50	0.0419424	9
TCGA-AA-A02O-01A-21W-A096-10	COSMICv3-SBS39	0.0403491	9
TCGA-AA-A02O-01A-21W-A096-10	COSMICv3-SBS59	0.0385133	8
TCGA-AA-A02O-01A-21W-A096-10	COSMICv3-SBS10b	0.024669	5
TCGA-AA-A02O-01A-21W-A096-10	COSMICv3-SBS17b	0.0239747	5
TCGA-AA-A02O-01A-21W-A096-10	COSMICv3-SBS7a	0.0180118	4
TCGA-AA-A02O-01A-21W-A096-10	COSMICv3-SBS15	0.0180005	4
TCGA-AA-A02O-01A-21W-A096-10	COSMICv3-SBS2	0.0166374	4
TCGA-AA-A02O-01A-21W-A096-10	COSMICv3-SBS7c	0.0158571	3
TCGA-AA-A02O-01A-21W-A096-10	COSMICv3-SBS31	0.0144585	3
TCGA-AA-A02O-01A-21W-A096-10	COSMICv3-SBS21	0.00896484	2
TCGA-AA-A02O-01A-21W-A096-10	COSMICv3-SBS28	0.00421184	1
TCGA-AA-A02O-01A-21W-A096-10	COSMICv3-SBS7b	0.00315708	1
TCGA-AA-A02O-01A-21W-A096-10	COSMICv3-SBS48	0.00282948	1
TCGA-AA-3858-01A-01W-0900-09	COSMICv3-SBS1	0.457244	44
TCGA-AA-3858-01A-01W-0900-09	COSMICv3-SBS7b	0.119877	12
TCGA-AA-3858-01A-01W-0900-09	COSMICv3-SBS19	0.0698096	7
TCGA-AA-3858-01A-01W-0900-09	COSMICv3-SBS29	0.0648403	6
TCGA-AA-3858-01A-01W-0900-09	COSMICv3-SBS55	0.0626661	6
TCGA-AA-3858-01A-01W-0900-09	COSMICv3-SBS21	0.0400043	4
TCGA-AA-3858-01A-01W-0900-09	COSMICv3-SBS22	0.0339242	3
TCGA-AA-3858-01A-01W-0900-09	COSMICv3-SBS45	0.0276118	3
TCGA-AA-3858-01A-01W-0900-09	COSMICv3-SBS10b	0.0171256	2
TCGA-AA-3858-01A-01W-0900-09	COSMICv3-SBS24	0.0122329	1
TCGA-AA-3858-01A-01W-0900-09	COSMICv3-SBS2	0.00826611	1
TCGA-AY-A54L-01A-11D-A28G-10	COSMICv3-SBS1	0.383235	69
TCGA-AY-A54L-01A-11D-A28G-10	COSMICv3-SBS24	0.0732901	13
TCGA-AY-A54L-01A-11D-A28G-10	COSMICv3-SBS19	0.0665571	12
TCGA-AY-A54L-01A-11D-A28G-10	COSMICv3-SBS18	0.0642199	12
TCGA-AY-A54L-01A-11D-A28G-10	COSMICv3-SBS39	0.0591282	11
TCGA-AY-A54L-01A-11D-A28G-10	COSMICv3-SBS20	0.0510116	9
TCGA-AY-A54L-01A-11D-A28G-10	COSMICv3-SBS7a	0.0464494	8
TCGA-AY-A54L-01A-11D-A28G-10	COSMICv3-SBS32	0.0433464	8
TCGA-AY-A54L-01A-11D-A28G-10	COSMICv3-SBS52	0.0339714	6
TCGA-AY-A54L-01A-11D-A28G-10	COSMICv3-SBS6	0.0279439	5
TCGA-AY-A54L-01A-11D-A28G-10	COSMICv3-SBS17b	0.0224581	4
TCGA-AY-A54L-01A-11D-A28G-10	COSMICv3-SBS10b	0.021187	4
TCGA-AY-A54L-01A-11D-A28G-10	COSMICv3-SBS35	0.0193349	3
TCGA-AY-A54L-01A-11D-A28G-10	COSMICv3-SBS8	0.00967744	2
TCGA-AY-A54L-01A-11D-A28G-10	COSMICv3-SBS48	0.00740608	1
TCGA-AY-A54L-01A-11D-A28G-10	COSMICv3-SBS59	0.00698106	1
TCGA-AY-A54L-01A-11D-A28G-10	COSMICv3-SBS29	0.00630326	1
TCGA-AY-A54L-01A-11D-A28G-10	COSMICv3-SBS54	0.00603818	1
TCGA-AY-A54L-01A-11D-A28G-10	COSMICv3-SBS84	0.00603196	1
TCGA-AA-3941-01A-01W-0995-10	COSMICv3-SBS1	0.216459	19
TCGA-AA-3941-01A-01W-0995-10	COSMICv3-SBS41	0.109112	10
TCGA-AA-3941-01A-01W-0995-10	COSMICv3-SBS84	0.102308	9
TCGA-AA-3941-01A-01W-0995-10	COSMICv3-SBS24	0.0852475	8
TCGA-AA-3941-01A-01W-0995-10	COSMICv3-SBS7d	0.062351	5
TCGA-AA-3941-01A-01W-0995-10	COSMICv3-SBS42	0.0603735	5
TCGA-AA-3941-01A-01W-0995-10	COSMICv3-SBS32	0.0563403	5
TCGA-AA-3941-01A-01W-0995-10	COSMICv3-SBS30	0.0535936	5
TCGA-AA-3941-01A-01W-0995-10	COSMICv3-SBS38	0.0453674	4
TCGA-AA-3941-01A-01W-0995-10	COSMICv3-SBS13	0.0402405	4
TCGA-AA-3941-01A-01W-0995-10	COSMICv3-SBS10b	0.0399909	4
TCGA-AA-3941-01A-01W-0995-10	COSMICv3-SBS2	0.0269683	2
TCGA-AA-3941-01A-01W-0995-10	COSMICv3-SBS54	0.0214392	2
TCGA-AA-3941-01A-01W-0995-10	COSMICv3-SBS52	0.019964	2
TCGA-AA-3941-01A-01W-0995-10	COSMICv3-SBS40	0.0149766	1
TCGA-AA-3941-01A-01W-0995-10	COSMICv3-SBS49	0.0123293	1
TCGA-AA-3941-01A-01W-0995-10	COSMICv3-SBS17a	0.00888096	1
TCGA-AA-3941-01A-01W-0995-10	COSMICv3-SBS46	0.00859059	1
TCGA-NH-A50V-01A-11D-A28G-10	COSMICv3-SBS1	0.507504	105
TCGA-NH-A50V-01A-11D-A28G-10	COSMICv3-SBS24	0.0986971	20
TCGA-NH-A50V-01A-11D-A28G-10	COSMICv3-SBS15	0.089078	18
TCGA-NH-A50V-01A-11D-A28G-10	COSMICv3-SBS50	0.0537786	11
TCGA-NH-A50V-01A-11D-A28G-10	COSMICv3-SBS56	0.0358075	7
TCGA-NH-A50V-01A-11D-A28G-10	COSMICv3-SBS19	0.0353845	7
TCGA-NH-A50V-01A-11D-A28G-10	COSMICv3-SBS12	0.0312041	6
TCGA-NH-A50V-01A-11D-A28G-10	COSMICv3-SBS36	0.0220836	5
TCGA-NH-A50V-01A-11D-A28G-10	COSMICv3-SBS30	0.0204282	4
TCGA-NH-A50V-01A-11D-A28G-10	COSMICv3-SBS7a	0.0199677	4
TCGA-NH-A50V-01A-11D-A28G-10	COSMICv3-SBS16	0.0156177	3
TCGA-NH-A50V-01A-11D-A28G-10	COSMICv3-SBS10a	0.0152875	3
TCGA-NH-A50V-01A-11D-A28G-10	COSMICv3-SBS21	0.0076998	2
TCGA-NH-A50V-01A-11D-A28G-10	COSMICv3-SBS6	0.0048729	1
TCGA-NH-A50V-01A-11D-A28G-10	COSMICv3-SBS22	0.00431078	1
TCGA-NH-A50V-01A-11D-A28G-10	COSMICv3-SBS17b	0.00381032	1
TCGA-A6-A566-01A-11D-A28G-10	COSMICv3-SBS1	0.454647	98
TCGA-A6-A566-01A-11D-A28G-10	COSMICv3-SBS18	0.129679	28
TCGA-A6-A566-01A-11D-A28G-10	COSMICv3-SBS39	0.0472108	10
TCGA-A6-A566-01A-11D-A28G-10	COSMICv3-SBS19	0.0419685	9
TCGA-A6-A566-01A-11D-A28G-10	COSMICv3-SBS50	0.0347476	8
TCGA-A6-A566-01A-11D-A28G-10	COSMICv3-SBS24	0.0330152	7
TCGA-A6-A566-01A-11D-A28G-10	COSMICv3-SBS30	0.0320121	7
TCGA-A6-A566-01A-11D-A28G-10	COSMICv3-SBS84	0.0271083	6
TCGA-A6-A566-01A-11D-A28G-10	COSMICv3-SBS59	0.0211362	5
TCGA-A6-A566-01A-11D-A28G-10	COSMICv3-SBS23	0.0200541	4
TCGA-A6-A566-01A-11D-A28G-10	COSMICv3-SBS7a	0.0199475	4
TCGA-A6-A566-01A-11D-A28G-10	COSMICv3-SBS54	0.0187049	4
TCGA-A6-A566-01A-11D-A28G-10	COSMICv3-SBS56	0.0135942	3
TCGA-A6-A566-01A-11D-A28G-10	COSMICv3-SBS21	0.0101116	2
TCGA-A6-A566-01A-11D-A28G-10	COSMICv3-SBS48	0.0100339	2
TCGA-A6-A566-01A-11D-A28G-10	COSMICv3-SBS41	0.00892492	2
TCGA-A6-A566-01A-11D-A28G-10	COSMICv3-SBS10b	0.00568322	1
TCGA-A6-A566-01A-11D-A28G-10	COSMICv3-SBS49	0.00566916	1
TCGA-A6-A566-01A-11D-A28G-10	COSMICv3-SBS14	0.00514165	1
TCGA-A6-A566-01A-11D-A28G-10	COSMICv3-SBS13	0.00278383	1
TCGA-A6-A566-01A-11D-A28G-10	COSMICv3-SBS15	0.00258348	1
TCGA-CK-4952-01A-01D-1719-10	COSMICv3-SBS1	0.502862	105
TCGA-CK-4952-01A-01D-1719-10	COSMICv3-SBS7a	0.108397	23
TCGA-CK-4952-01A-01D-1719-10	COSMICv3-SBS23	0.0411603	9
TCGA-CK-4952-01A-01D-1719-10	COSMICv3-SBS30	0.033442	7
TCGA-CK-4952-01A-01D-1719-10	COSMICv3-SBS17b	0.0323484	7
TCGA-CK-4952-01A-01D-1719-10	COSMICv3-SBS17a	0.0308532	6
TCGA-CK-4952-01A-01D-1719-10	COSMICv3-SBS36	0.0214655	4
TCGA-CK-4952-01A-01D-1719-10	COSMICv3-SBS38	0.0179312	4
TCGA-CK-4952-01A-01D-1719-10	COSMICv3-SBS59	0.0178645	4
TCGA-CK-4952-01A-01D-1719-10	COSMICv3-SBS25	0.0168505	4
TCGA-CK-4952-01A-01D-1719-10	COSMICv3-SBS29	0.0117868	2
TCGA-CK-4952-01A-01D-1719-10	COSMICv3-SBS54	0.0113637	2
TCGA-CK-4952-01A-01D-1719-10	COSMICv3-SBS9	0.00857454	2
TCGA-CK-4952-01A-01D-1719-10	COSMICv3-SBS13	0.00842122	2
TCGA-CK-4952-01A-01D-1719-10	COSMICv3-SBS11	0.00665216	1
TCGA-CK-4952-01A-01D-1719-10	COSMICv3-SBS7b	0.00613567	1
TCGA-CK-4952-01A-01D-1719-10	COSMICv3-SBS2	0.00502798	1
TCGA-CK-4952-01A-01D-1719-10	COSMICv3-SBS34	0.00434057	1
TCGA-G4-6303-01A-11D-1771-10	COSMICv3-SBS1	0.532539	73
TCGA-G4-6303-01A-11D-1771-10	COSMICv3-SBS10b	0.0780678	11
TCGA-G4-6303-01A-11D-1771-10	COSMICv3-SBS6	0.0636519	9
TCGA-G4-6303-01A-11D-1771-10	COSMICv3-SBS30	0.0609976	8
TCGA-G4-6303-01A-11D-1771-10	COSMICv3-SBS24	0.0526905	7
TCGA-G4-6303-01A-11D-1771-10	COSMICv3-SBS39	0.0439356	6
TCGA-G4-6303-01A-11D-1771-10	COSMICv3-SBS25	0.0354883	5
TCGA-G4-6303-01A-11D-1771-10	COSMICv3-SBS52	0.022351	3
TCGA-G4-6303-01A-11D-1771-10	COSMICv3-SBS7d	0.0168535	2
TCGA-G4-6303-01A-11D-1771-10	COSMICv3-SBS10a	0.015012	2
TCGA-G4-6303-01A-11D-1771-10	COSMICv3-SBS54	0.0136165	2
TCGA-G4-6303-01A-11D-1771-10	COSMICv3-SBS2	0.00948067	1
TCGA-G4-6303-01A-11D-1771-10	COSMICv3-SBS49	0.00821889	1
TCGA-G4-6303-01A-11D-1771-10	COSMICv3-SBS17b	0.0056065	1
TCGA-G4-6303-01A-11D-1771-10	COSMICv3-SBS85	0.00540362	1
TCGA-G4-6303-01A-11D-1771-10	COSMICv3-SBS37	0.00518202	1
TCGA-AD-6888-01A-11D-1924-10	COSMICv3-SBS1	0.574906	80
TCGA-AD-6888-01A-11D-1924-10	COSMICv3-SBS10b	0.0386758	5
TCGA-AD-6888-01A-11D-1924-10	COSMICv3-SBS38	0.0313702	4
TCGA-AD-6888-01A-11D-1924-10	COSMICv3-SBS24	0.0296039	4
TCGA-AD-6888-01A-11D-1924-10	COSMICv3-SBS85	0.0275601	4
TCGA-AD-6888-01A-11D-1924-10	COSMICv3-SBS15	0.0265078	4
TCGA-AD-6888-01A-11D-1924-10	COSMICv3-SBS39	0.0253428	4
TCGA-AD-6888-01A-11D-1924-10	COSMICv3-SBS28	0.0243128	3
TCGA-AD-6888-01A-11D-1924-10	COSMICv3-SBS29	0.0242383	3
TCGA-AD-6888-01A-11D-1924-10	COSMICv3-SBS17a	0.0241467	3
TCGA-AD-6888-01A-11D-1924-10	COSMICv3-SBS54	0.0236157	3
TCGA-AD-6888-01A-11D-1924-10	COSMICv3-SBS32	0.019859	3
TCGA-AD-6888-01A-11D-1924-10	COSMICv3-SBS51	0.0197549	3
TCGA-AD-6888-01A-11D-1924-10	COSMICv3-SBS20	0.0195901	3
TCGA-AD-6888-01A-11D-1924-10	COSMICv3-SBS6	0.0183859	3
TCGA-AD-6888-01A-11D-1924-10	COSMICv3-SBS52	0.0172076	2
